OwnershipCategory,tour_mode,purpose,survey_freq,model_freq
2: Vehicles >= Adults,07: PNR to Transit,5: Individual Maintenance,189.0,0.0
2: Vehicles >= Adults,08: KNR to Transit,5: Individual Maintenance,478.0,394.0
2: Vehicles >= Adults,09: TNC to Transit,5: Individual Maintenance,0.0,0.0
2: Vehicles >= Adults,01: SOV,6: Individual Discretionary,144758.0,146845.0
2: Vehicles >= Adults,02: Shared Ride 2,6: Individual Discretionary,74545.0,73330.0
2: Vehicles >= Adults,03: Shared Ride 3+,6: Individual Discretionary,82844.0,82377.0
2: Vehicles >= Adults,04: Walk,6: Individual Discretionary,34422.0,34530.0
2: Vehicles >= Adults,05: Bike,6: Individual Discretionary,6008.0,6956.0
2: Vehicles >= Adults,06: Walk to Transit,6: Individual Discretionary,1119.0,1127.0
2: Vehicles >= Adults,07: PNR to Transit,6: Individual Discretionary,193.0,188.0
2: Vehicles >= Adults,08: KNR to Transit,6: Individual Discretionary,893.0,383.0
2: Vehicles >= Adults,09: TNC to Transit,6: Individual Discretionary,8.0,1553.0
2: Vehicles >= Adults,01: SOV,7: Joint Maintenance,0.0,0.0
2: Vehicles >= Adults,02: Shared Ride 2,7: Joint Maintenance,39330.0,0.0
2: Vehicles >= Adults,03: Shared Ride 3+,7: Joint Maintenance,15648.0,0.0
2: Vehicles >= Adults,04: Walk,7: Joint Maintenance,1294.0,0.0
2: Vehicles >= Adults,05: Bike,7: Joint Maintenance,49.0,0.0
2: Vehicles >= Adults,06: Walk to Transit,7: Joint Maintenance,116.0,0.0
2: Vehicles >= Adults,07: PNR to Transit,7: Joint Maintenance,12.0,0.0
2: Vehicles >= Adults,08: KNR to Transit,7: Joint Maintenance,19.0,0.0
2: Vehicles >= Adults,09: TNC to Transit,7: Joint Maintenance,0.0,0.0
2: Vehicles >= Adults,01: SOV,8: Joint Discretionary,0.0,0.0
2: Vehicles >= Adults,02: Shared Ride 2,8: Joint Discretionary,28348.0,0.0
2: Vehicles >= Adults,03: Shared Ride 3+,8: Joint Discretionary,21405.0,0.0
2: Vehicles >= Adults,04: Walk,8: Joint Discretionary,4779.0,0.0
2: Vehicles >= Adults,05: Bike,8: Joint Discretionary,44.0,0.0
