trip_mode,tour_mode,purpose,survey_value,model_value
03: Shared Ride 3+,08: KNR to Transit,5: Individual Maintenance,2029.0,1991.0
04: Walk,08: KNR to Transit,5: Individual Maintenance,25.0,1.0
05: Bike,08: KNR to Transit,5: Individual Maintenance,0.0,0.0
06: Walk to Transit,08: KNR to Transit,5: Individual Maintenance,92.0,73.0
07: PNR to Transit,08: KNR to Transit,5: Individual Maintenance,0.0,0.0
08: KNR to Transit,08: KNR to Transit,5: Individual Maintenance,2106.0,1846.0
09: TNC to Transit,08: KNR to Transit,5: Individual Maintenance,0.0,0.0
01: SOV,13: School Bus,5: Individual Maintenance,0.0,0.0
02: Shared Ride 2,13: School Bus,5: Individual Maintenance,0.0,0.0
03: Shared Ride 3+,13: School Bus,5: Individual Maintenance,0.0,0.0
04: Walk,13: School Bus,5: Individual Maintenance,0.0,0.0
05: Bike,13: School Bus,5: Individual Maintenance,0.0,0.0
06: Walk to Transit,13: School Bus,5: Individual Maintenance,0.0,0.0
07: PNR to Transit,13: School Bus,5: Individual Maintenance,0.0,0.0
08: KNR to Transit,13: School Bus,5: Individual Maintenance,0.0,0.0
09: TNC to Transit,13: School Bus,5: Individual Maintenance,0.0,0.0
01: SOV,Total,5: Individual Maintenance,2145054.0,1155763.0
02: Shared Ride 2,Total,5: Individual Maintenance,1268069.0,417535.0
03: Shared Ride 3+,Total,5: Individual Maintenance,1186101.0,347680.0
04: Walk,Total,5: Individual Maintenance,333179.0,219569.0
05: Bike,Total,5: Individual Maintenance,13057.0,6997.0
06: Walk to Transit,Total,5: Individual Maintenance,26238.0,24147.0
07: PNR to Transit,Total,5: Individual Maintenance,376.0,472.0
08: KNR to Transit,Total,5: Individual Maintenance,2106.0,1846.0
09: TNC to Transit,Total,5: Individual Maintenance,0.0,0.0
01: SOV,01: SOV,6: Individual Discretionary,510368.0,539052.0
02: Shared Ride 2,01: SOV,6: Individual Discretionary,0.0,0.0
03: Shared Ride 3+,01: SOV,6: Individual Discretionary,0.0,0.0
04: Walk,01: SOV,6: Individual Discretionary,0.0,0.0
05: Bike,01: SOV,6: Individual Discretionary,0.0,0.0
06: Walk to Transit,01: SOV,6: Individual Discretionary,0.0,0.0
07: PNR to Transit,01: SOV,6: Individual Discretionary,0.0,0.0
